0.001079 	0.001079 	0.001079 	
0.375201 	0.180458 	0.188136 	
0.001111 	0.001111 	0.001111 	
0.006667 	0.006667 	0.006667 	
0.000663 	0.000671 	0.000667 	
0.802291 	0.802982 	0.552305 	
0.325230 	0.374469 	0.301665 	
0.399008 	0.343608 	0.251233 	
0.200355 	0.344564 	0.305630 	
0.597996 	0.621111 	0.585493 	
0.133747 	0.218824 	0.223791 	
0.008264 	0.008264 	0.008264 	
0.760309 	0.604906 	0.203606 	
0.379978 	0.240831 	0.108275 	
0.000348 	0.000354 	0.000352 	
0.282926 	0.290908 	0.335848 	
0.766733 	0.779318 	0.791791 	
0.599713 	0.613882 	0.435185 	
0.386844 	0.334907 	0.330795 	
0.389293 	0.358949 	0.395100 	
0.343512 	0.258486 	0.277481 	
0.249849 	0.246924 	0.248718	
0.304985 	0.313956 	0.382822 	
0.374899 	0.368829 	0.343275 	
0.223628 	0.189071 	0.200050 	
0.247422 	0.144972 	0.278876	
